NoEssai,NoBloc,NoTraitement,Annee,LatDD,LonDD,AnalyseFoliaireStade,Cultivar,Maturity5,AnalyseFoliaireC,AnalyseFoliaireS,AnalyseFoliaireN,AnalyseFoliaireP,AnalyseFoliaireK,AnalyseFoliaireCa,AnalyseFoliaireMg,AnalyseFoliaireB,AnalyseFoliaireCu,AnalyseFoliaireZn,AnalyseFoliaireMn,AnalyseFoliaireFe,AnalyseFoliaireAl,RendVendable,RendPetit,RendMoy,RendGros
1,2,5,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,41.9,1.021,4.586,0.23,5.34,1.34,0.46,NA,4e-4,0.005,0.042,0.019,NA,42.9569,6.2784,16.1538,20.5247
1,2,6,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,41.76,0.8814,5.294,0.25,5.48,1.28,0.35,NA,6e-4,0.004,0.026,0.02,NA,49.2462,7.8698,24.0236,17.3528
1,2,7,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,41.45,0.931,4.697,0.23,5.56,1.57,0.62,NA,4e-4,0.004,0.03,0.019,NA,41.8669,5.0467,16.4263,20.3939
1,2,8,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,41.47,0.8733,5.196,0.23,5.67,1.23,0.42,NA,6e-4,0.005,0.036,0.014,NA,49.5841,4.0875,22.127,23.3696
1,3,1,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,38.28,0.6642,4.887,0.29,7.8,1.28,0.23,NA,9e-4,0.008,0.033,0.06,NA,26.5524,3.9676,17.113,5.4718
1,3,2,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,40.89,1.141,3.669,0.17,6.79,1.48,0.38,NA,4e-4,0.005,0.037,0.173,NA,37.3761,5.8206,14.2681,17.2874
1,3,3,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,42.2,0.5024,4.41,0.21,6.58,1.15,0.19,NA,6e-4,0.007,0.05,0.032,NA,43.3275,4.8287,16.7642,21.7346
1,3,4,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,41.18,1.045,4.389,0.22,5.37,1.49,0.52,NA,4e-4,0.004,0.03,0.025,NA,40.4935,6.0386,16.5462,17.9087
1,3,5,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,41.59,1.228,4.269,0.21,5.9,1.48,0.5,NA,4e-4,0.005,0.036,0.021,NA,43.8616,6.976,19.075,17.8106
1,3,6,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,40.04,0.3736,6.487,0.25,5.18,1.31,0.39,NA,6e-4,0.005,0.035,0.019,NA,45.998,6.104,19.4674,20.4266
1,3,7,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,41.35,0.9379,4.707,0.23,5.39,1.21,0.67,NA,6e-4,0.005,0.036,0.026,NA,42.074,7.1504,22.3123,12.6113
1,3,8,2003,46.753056,-72.338611,10% fleur,Goldrush,mid-season,41.2,1.008,5.16,0.27,5.51,1.9,0.42,NA,8e-4,0.005,0.035,0.017,NA,54.5109,4.9922,24.4269,25.0918
2,1,1,2003,46.753056,-72.338611,10% fleur,Eramosa,early,32.56,0.3608,2.346,0.21,1.92,1.42,0.26,NA,6e-4,0.009,0.049,0.25,NA,13.0255,4.7633,5.1775,3.0847
2,1,2,2003,46.753056,-72.338611,10% fleur,Eramosa,early,38.8,0.3945,3.641,0.22,7.12,1.5,0.35,NA,4e-4,0.006,0.041,0.145,NA,28.4817,6.1258,10.3441,12.0118
2,1,3,2003,46.753056,-72.338611,10% fleur,Eramosa,early,38.24,0.4139,3.329,0.17,5.7,1.51,0.22,NA,4e-4,0.008,0.054,0.056,NA,42.7825,4.578,14.8349,23.3696
2,1,4,2003,46.753056,-72.338611,10% fleur,Eramosa,early,32.75,0.3101,2.299,0.23,7.21,1.11,0.41,NA,6e-4,0.009,0.054,0.028,NA,37.2671,4.9377,8.4039,23.9255
2,1,5,2003,46.753056,-72.338611,10% fleur,Eramosa,early,36.33,0.3951,4.679,0.2,7.16,0.46,0.18,NA,4e-4,0.008,0.056,0.052,NA,51.7423,2.8885,12.6004,36.2534
2,1,6,2003,46.753056,-72.338611,10% fleur,Eramosa,early,32.23,0.5581,2.496,0.15,6.16,1.59,0.78,NA,7e-4,0.008,0.061,0.169,NA,34.5421,3.0629,11.5867,19.8925
2,1,7,2003,46.753056,-72.338611,10% fleur,Eramosa,early,40.67,0.6188,3.364,0.16,8.15,1.72,0.31,NA,6e-4,0.006,0.043,0.035,NA,50.9248,2.6596,9.156,39.1092
2,1,8,2003,46.753056,-72.338611,10% fleur,Eramosa,early,39.69,0.3404,3.456,0.16,6.68,1.69,0.34,NA,4e-4,0.007,0.051,0.068,NA,41.747,6.3656,10.2569,25.1245
2,2,1,2003,46.753056,-72.338611,10% fleur,Eramosa,early,32.88,0.5536,3.932,0.24,7.75,1.59,0.27,NA,6e-4,0.005,0.025,0.253,NA,12.2734,4.7306,4.905,2.6378
2,2,2,2003,46.753056,-72.338611,10% fleur,Eramosa,early,34.28,0.5671,2.469,0.18,6.71,1.68,0.29,NA,6e-4,0.006,0.046,0.212,NA,40.3518,3.5098,10.4858,26.3562
2,2,3,2003,46.753056,-72.338611,10% fleur,Eramosa,early,38.76,0.7193,2.984,0.19,7.05,1.69,0.3,NA,4e-4,0.008,0.055,0.125,NA,43.5455,5.2102,11.5322,26.8031
2,2,4,2003,46.753056,-72.338611,10% fleur,Eramosa,early,37.9,0.2713,4.382,0.2,7.84,1.59,0.36,NA,6e-4,0.007,0.06,0.121,NA,53.2356,4.2292,13.625,35.3814
2,2,5,2003,46.753056,-72.338611,10% fleur,Eramosa,early,35.88,0.202,3.43,0.17,8.3,1.34,0.2,NA,6e-4,0.006,0.049,0.129,NA,46.4885,2.616,7.3684,36.5041
2,2,6,2003,46.753056,-72.338611,10% fleur,Eramosa,early,40.02,0.3159,4.191,0.17,8.77,1.58,0.55,NA,6e-4,0.008,0.048,0.057,NA,40.9731,2.943,11.2815,26.7486
2,2,7,2003,46.753056,-72.338611,10% fleur,Eramosa,early,39.97,0.3139,3.994,0.14,8.68,1.58,0.39,NA,6e-4,0.009,0.051,0.049,NA,63.7432,3.4444,17.0476,43.2512
2,2,8,2003,46.753056,-72.338611,10% fleur,Eramosa,early,38.83,0.2783,4.189,0.18,8.44,1.69,0.59,NA,6e-4,0.006,0.051,0.1,NA,37.4633,5.4282,14.3662,17.6689
2,3,1,2003,46.753056,-72.338611,10% fleur,Eramosa,early,35.03,0.5106,2.882,0.22,7.89,1.6,0.4,NA,6e-4,0.009,0.046,0.156,NA,9.8427,4.8941,4.9486,0
2,3,2,2003,46.753056,-72.338611,10% fleur,Eramosa,early,37.88,0.2589,4.143,0.16,6.52,1.94,0.47,NA,6e-4,0.007,0.05,0.119,NA,37.3325,3.4662,10.7474,23.1189
2,3,3,2003,46.753056,-72.338611,10% fleur,Eramosa,early,NA,0.3595,1.922,0.2,7.86,1.84,0.48,NA,6e-4,0.005,0.037,0.205,NA,28.4163,5.1993,8.938,14.279
2,3,4,2003,46.753056,-72.338611,10% fleur,Eramosa,early,36.19,0.3269,3.013,0.17,6.29,1.47,0.29,NA,5e-4,0.009,0.059,0.094,NA,44.8317,5.7116,10.6602,28.4599
2,3,5,2003,46.753056,-72.338611,10% fleur,Eramosa,early,37.6,0.3086,4.159,0.17,6.96,1.77,0.93,NA,6e-4,0.008,0.047,0.114,NA,34.0189,3.8368,6.1367,24.0454
2,3,6,2003,46.753056,-72.338611,10% fleur,Eramosa,early,37.68,0.2678,3.293,0.17,7.89,1.8,0.38,NA,6e-4,0.007,0.044,0.087,NA,40.8532,3.597,8.6001,28.6561
2,3,7,2003,46.753056,-72.338611,10% fleur,Eramosa,early,33.53,0.2982,4.282,0.14,9.56,1.93,0.7,NA,6e-4,0.006,0.044,0.178,NA,46.5321,3.27,15.5107,27.7514
2,3,8,2003,46.753056,-72.338611,10% fleur,Eramosa,early,41.22,0.249,4.036,0.19,5.51,1.71,0.68,NA,6e-4,0.007,0.047,0.042,NA,36.2316,2.9866,8.7309,24.5141
3,1,1,2004,46.764444,-72.330833,NA,Goldrush,mid-season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.5763125,3.7536875,12.930125,19.8925
3,1,2,2004,46.764444,-72.330833,NA,Goldrush,mid-season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.944625,5.4295625,20.7168125,34.79825
3,1,3,2004,46.764444,-72.330833,NA,Goldrush,mid-season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.2895,3.0996875,13.70675,28.4830625
3,1,4,2004,46.764444,-72.330833,NA,Goldrush,mid-season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.1414375,5.2524375,15.61425,30.27475
3,1,5,2004,46.764444,-72.330833,NA,Goldrush,mid-season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.3070625,5.054875,11.213375,27.0388125
3,1,6,2004,46.764444,-72.330833,NA,Goldrush,mid-season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.5749375,4.98675,15.7300625,33.858125
3,1,7,2004,46.764444,-72.330833,NA,Goldrush,mid-season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.3081875,4.00575,16.5748125,37.727625
3,1,8,2004,46.764444,-72.330833,NA,Goldrush,mid-season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.713,3.815,17.113,39.785
3,1,9,2004,46.764444,-72.330833,NA,Goldrush,mid-season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.898375,3.120125,18.9728125,39.8054375
3,1,10,2004,46.764444,-72.330833,NA,Goldrush,mid-season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.2999375,3.1950625,17.126625,36.97825
3,1,11,2004,46.764444,-72.330833,NA,Goldrush,mid-season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.470625,3.2904375,18.2370625,40.943125
3,2,1,2004,46.764444,-72.330833,NA,Goldrush,mid-season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.093375,4.796,14.85125,26.446125
3,2,2,2004,46.764444,-72.330833,NA,Goldrush,mid-season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.8965,3.6174375,12.5418125,20.73725
3,2,3,2004,46.764444,-72.330833,NA,Goldrush,mid-season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.55375,5.4295625,13.92475,25.1994375
3,2,4,2004,46.764444,-72.330833,NA,Goldrush,mid-season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.733,4.2850625,12.01725,20.4306875
3,2,5,2004,46.764444,-72.330833,NA,Goldrush,mid-season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.948875,2.820375,15.9889375,26.1395625
3,2,6,2004,46.764444,-72.330833,NA,Goldrush,mid-season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.25975,4.6325,14.2585625,29.3686875
3,2,7,2004,46.764444,-72.330833,NA,Goldrush,mid-season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.112375,4.76875,13.7680625,26.5755625
3,2,8,2004,46.764444,-72.330833,NA,Goldrush,mid-season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.044625,2.4865625,16.145625,31.4124375
3,2,9,2004,46.764444,-72.330833,NA,Goldrush,mid-season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.658125,5.981375,17.767,31.90975
3,2,10,2004,46.764444,-72.330833,NA,Goldrush,mid-season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.7355625,1.853,16.0979375,34.784625
3,2,11,2004,46.764444,-72.330833,NA,Goldrush,mid-season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.668125,1.7235625,12.385125,29.5594375
3,3,1,2004,46.764444,-72.330833,NA,Goldrush,mid-season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.915875,4.1760625,13.1549375,23.584875
3,3,2,2004,46.764444,-72.330833,NA,Goldrush,mid-season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.4225,4.1965,11.7379375,22.4880625
3,3,3,2004,46.764444,-72.330833,NA,Goldrush,mid-season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.6724375,3.7673125,13.257125,29.648
3,3,4,2004,46.764444,-72.330833,NA,Goldrush,mid-season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.69075,4.7619375,16.023,33.9058125
3,3,5,2004,46.764444,-72.330833,NA,Goldrush,mid-season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.3644375,2.75225,15.9344375,26.67775
3,3,6,2004,46.764444,-72.330833,NA,Goldrush,mid-season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.1274375,4.7891875,12.34425,28.994
3,3,7,2004,46.764444,-72.330833,NA,Goldrush,mid-season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.71475,5.7429375,12.8143125,29.1575
3,3,8,2004,46.764444,-72.330833,NA,Goldrush,mid-season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.393125,3.828625,13.37975,29.18475
3,3,9,2004,46.764444,-72.330833,NA,Goldrush,mid-season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.0564375,2.7795,13.011875,28.2650625
3,3,10,2004,46.764444,-72.330833,NA,Goldrush,mid-season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.50325,3.474375,20.669125,37.35975
3,3,11,2004,46.764444,-72.330833,NA,Goldrush,mid-season,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.29025,2.58875,16.81325,35.88825
4,1,1,2004,48.797222,-72.2425,10% fleur,Bijou Rouge,early,44.16,0.5527,4.311,0.22,4.9,0.76,0.24,NA,2e-4,0.002,0.005,0.042,NA,20.2342047,7.496802685,12.73740201,0
4,1,2,2004,48.797222,-72.2425,10% fleur,Bijou Rouge,early,44.14,0.582,4.407,0.27,4.37,0.83,0.16,NA,2e-4,0.002,0.008,0.02,NA,35.01293356,15.75761074,18.36000403,0.895318792
4,1,3,2004,48.797222,-72.2425,10% fleur,Bijou Rouge,early,43.51,0.568,4.845,0.3,4.74,0.6,0.22,NA,2e-4,0.002,0.014,0.014,NA,36.14700403,18.51519262,17.63181141,0
4,1,4,2004,48.797222,-72.2425,10% fleur,Bijou Rouge,early,43.54,0.542,5.244,0.2,3.34,0.88,0.17,NA,2e-4,0.002,0.011,0.009,NA,42.22323423,15.28010738,26.0119953,0.931131544
4,1,5,2004,48.797222,-72.2425,10% fleur,Bijou Rouge,early,45.25,0.6445,7.853,0.34,4.37,0.74,0.22,NA,2e-4,0.002,0.009,0.019,NA,39.04783691,7.293863758,27.09831544,4.655657718
4,1,6,2004,48.797222,-72.2425,10% fleur,Bijou Rouge,early,43.85,0.6257,6.039,0.38,4.68,0.66,0.2,NA,4e-4,0.002,0.01,0.021,NA,40.40872148,7.472927517,32.00466242,0.931131544
4,2,1,2004,48.797222,-72.2425,10% fleur,Bijou Rouge,early,44.63,0.4857,4.01,0.22,4.53,0.62,0.15,NA,2e-4,0.003,0.005,0.019,NA,23.02759933,14.83841678,8.18918255,0
4,2,2,2004,48.797222,-72.2425,10% fleur,Bijou Rouge,early,43.36,0.5905,4.906,0.28,4.88,0.83,0.2,NA,4e-4,0.002,0.011,0.016,NA,31.25259463,12.65383893,17.8586255,0.740130201
4,2,3,2004,48.797222,-72.2425,10% fleur,Bijou Rouge,early,43.21,0.6639,5.918,0.36,4.42,0.76,0.15,NA,4e-4,0.002,0.015,0.02,NA,34.30861611,15.07716846,18.41969195,0.811755705
4,2,4,2004,48.797222,-72.2425,10% fleur,Bijou Rouge,early,43.64,0.5765,5.797,0.35,5.25,0.73,0.17,NA,4e-4,0.003,0.008,0.025,NA,32.30310201,8.8935,19.74476376,3.664838255
4,2,5,2004,48.797222,-72.2425,10% fleur,Bijou Rouge,early,45.03,0.5956,5.87,0.28,5.14,0.74,0.18,NA,2e-4,0.002,0.011,0.012,NA,38.53452081,9.000938255,25.97618255,3.5574
4,2,6,2004,48.797222,-72.2425,10% fleur,Bijou Rouge,early,44.25,0.6287,6.006,0.3,4.44,0.73,0.36,NA,2e-4,0.002,0.011,0.015,NA,37.24526174,9.932069799,22.26359396,5.049597987
4,3,1,2004,48.797222,-72.2425,10% fleur,Bijou Rouge,early,44.05,0.4921,4.208,0.23,5.11,0.62,0.18,NA,2e-4,0.001,0.005,0.027,NA,10.04547685,7.565443792,2.480033054,0
4,3,2,2004,48.797222,-72.2425,10% fleur,Bijou Rouge,early,44.19,0.5068,4.422,0.25,4.88,0.72,0.12,NA,2e-4,0.001,0.01,0.02,NA,22.6067995,15.30099815,7.305801342,0
4,3,3,2004,48.797222,-72.2425,10% fleur,Bijou Rouge,early,44.48,0.5153,4.666,0.27,4.15,0.59,0.12,NA,2e-4,0.001,0.011,0.016,NA,24.86300285,15.38157685,8.944234732,0.537191275
4,3,4,2004,48.797222,-72.2425,10% fleur,Bijou Rouge,early,44.65,0.5319,4.856,0.29,4.37,0.5,0.07,NA,6e-4,0.002,0.009,0.012,NA,30.79896644,18.87332013,11.92564631,0
4,3,5,2004,48.797222,-72.2425,10% fleur,Bijou Rouge,early,43.93,0.4817,5.256,0.3,4.02,0.63,0.13,NA,4e-4,0.002,0.01,0.019,NA,31.34511091,17.38709094,13.95801997,0
4,3,6,2004,48.797222,-72.2425,10% fleur,Bijou Rouge,early,43.98,0.5252,5.429,0.3,5,0.79,0.18,NA,2e-4,0.002,0.011,0.022,NA,21.87263809,11.49589329,10.3767448,0
5,1,1,2004,48.797222,-72.2425,10% fleur,Shepody,mid-season,44.1,0.6139,3.21,0.2,4.19,0.7,0.27,NA,4e-4,0.002,0.016,0.023,NA,14.36091342,12.20319513,2.157718289,0
5,1,2,2004,48.797222,-72.2425,10% fleur,Shepody,mid-season,44.18,0.6737,4.156,0.24,4.93,0.84,0.26,NA,4e-4,0.002,0.027,0.016,NA,21.31754044,13.24176493,8.075775503,0
5,1,3,2004,48.797222,-72.2425,10% fleur,Shepody,mid-season,44.36,0.6841,4.987,0.29,5.88,0.85,0.29,NA,6e-4,0.003,0.031,0.013,NA,25.13159849,11.32578272,13.80581577,0
5,1,4,2004,48.797222,-72.2425,10% fleur,Shepody,mid-season,43.63,0.6678,5.712,0.28,5.27,0.83,0.38,NA,6e-4,0.003,0.023,0.018,NA,25.63297701,9.821647148,14.24452198,1.566807886
5,1,5,2004,48.797222,-72.2425,10% fleur,Shepody,mid-season,43.93,0.7054,6.444,0.28,5.37,0.99,0.32,NA,6e-4,0.003,0.027,0.021,NA,26.05377685,8.210073322,17.19907399,0.64462953
5,1,6,2004,48.797222,-72.2425,10% fleur,Shepody,mid-season,43.62,0.6849,6.188,0.3,4.98,0.99,0.45,NA,6e-4,0.003,0.023,0.018,NA,26.12540235,6.670125,18.13915872,1.316118624
5,2,1,2004,48.797222,-72.2425,10% fleur,Shepody,mid-season,44.39,0.6228,4.211,0.19,5.25,0.82,0.38,NA,4e-4,0.002,0.02,0.023,NA,8.953187919,6.84023557,2.112952349,0
5,2,2,2004,48.797222,-72.2425,10% fleur,Shepody,mid-season,44.26,0.742,4.871,0.28,5.72,0.87,0.36,NA,4e-4,0.002,0.028,0.018,NA,20.78930235,11.9345995,8.854702852,0
5,2,3,2004,48.797222,-72.2425,10% fleur,Shepody,mid-season,43.42,0.7798,5.803,0.33,5.43,0.93,0.19,NA,6e-4,0.003,0.029,0.021,NA,22.57993993,6.50001443,11.14671896,4.933206544
5,2,4,2004,48.797222,-72.2425,10% fleur,Shepody,mid-season,44.16,0.6564,5.936,0.29,5.62,0.75,0.32,NA,6e-4,0.003,0.026,0.017,NA,22.61575268,9.55305151,13.06270117,0
5,2,5,2004,48.797222,-72.2425,10% fleur,Shepody,mid-season,44.28,0.6559,6.333,0.27,5.09,0.76,0.18,NA,6e-4,0.003,0.025,0.019,NA,23.52897785,5.515163758,15.30099815,2.71281594
5,2,6,2004,48.797222,-72.2425,10% fleur,Shepody,mid-season,43.41,0.6794,6.353,0.37,6.35,1.02,0.29,NA,6e-4,0.003,0.028,0.035,NA,22.63365906,6.204559228,15.75761074,0.671489094
5,3,1,2004,48.797222,-72.2425,10% fleur,Shepody,mid-season,43.85,0.6875,4.592,0.19,4.93,1,0.49,NA,4e-4,0.002,0.014,0.016,NA,11.51379966,8.084728691,3.429070973,0
5,3,2,2004,48.797222,-72.2425,10% fleur,Shepody,mid-season,43.89,0.6978,4.634,0.26,4.95,0.91,0.4,NA,4e-4,0.005,0.021,0.013,NA,24.28104564,11.10195302,11.75553574,1.423556879
5,3,3,2004,48.797222,-72.2425,10% fleur,Shepody,mid-season,43.97,0.7065,5.201,0.2,5.13,0.81,0.42,NA,4e-4,0.002,0.023,0.014,NA,24.45115621,9.758974832,12.48969715,2.202484228
5,3,4,2004,48.797222,-72.2425,10% fleur,Shepody,mid-season,44.59,0.6741,5.905,0.28,5.09,1.09,0.49,NA,4e-4,0.01,0.018,0.016,NA,23.70804161,7.995196812,15.7128448,0
5,3,5,2004,48.797222,-72.2425,10% fleur,Shepody,mid-season,43.62,0.6037,6.17,0.29,4.19,0.77,0.39,NA,4e-4,0.002,0.018,0.016,NA,23.86919899,6.670125,17.19907399,0
5,3,6,2004,48.797222,-72.2425,10% fleur,Shepody,mid-season,43.88,0.6873,6.328,0.27,4.73,0.91,0.54,NA,4e-4,0.003,0.017,0.02,NA,18.56891174,7.860898993,9.750021644,0.957991107
6,1,1,2004,48.797222,-72.2425,10% fleur,Prospect,mid-season,43.47,0.5497,3.041,0.24,4.45,0.82,0.27,NA,4e-4,0.001,0.008,0.018,NA,23.71997919,9.16806443,14.55191477,0
6,1,2,2004,48.797222,-72.2425,10% fleur,Prospect,mid-season,43.25,0.4575,3.516,0.26,4.5,0.64,0.35,NA,4e-4,0.002,0.013,0.011,NA,33.7953,6.887985906,23.75579195,3.151522148
6,1,3,2004,48.797222,-72.2425,10% fleur,Prospect,mid-season,43.21,0.5215,4.505,0.28,4.66,0.71,0.23,NA,6e-4,0.002,0.017,0.013,NA,34.04598926,4.011028188,29.13964228,0.895318792
6,1,4,2004,48.797222,-72.2425,10% fleur,Prospect,mid-season,43.65,0.5708,5.762,0.28,5.19,0.81,0.28,NA,6e-4,0.003,0.019,0.017,NA,38.35545705,5.658414765,30.03496107,2.662081208
6,1,5,2004,48.797222,-72.2425,10% fleur,Prospect,mid-season,43.34,0.485,5.903,0.32,5.19,0.74,0.36,NA,6e-4,0.003,0.021,0.016,NA,39.77602953,8.045931544,26.45368591,5.276412081
6,1,6,2004,48.797222,-72.2425,10% fleur,Prospect,mid-season,43.38,0.5647,5.84,0.27,5.01,0.88,0.64,NA,6e-4,0.003,0.021,0.016,NA,42.82011342,5.324162416,23.52897785,13.96697315
6,2,1,2004,48.797222,-72.2425,10% fleur,Prospect,mid-season,43.6,0.5333,3.57,0.25,4.04,0.66,0.2,NA,4e-4,0.002,0.007,0.015,NA,22.63365906,7.293863758,15.3397953,0
6,2,2,2004,48.797222,-72.2425,10% fleur,Prospect,mid-season,43.48,0.5243,3.909,0.25,4.15,0.66,0.2,NA,4e-4,0.002,0.011,0.013,NA,24.36460872,15.50692148,8.857687248,0
6,2,3,2004,48.797222,-72.2425,10% fleur,Prospect,mid-season,43.04,0.5711,5.01,0.26,4.27,0.75,0.32,NA,4e-4,0.002,0.017,0.022,NA,27.58775638,5.228661745,18.63456846,3.724526174
6,2,4,2004,48.797222,-72.2425,10% fleur,Prospect,mid-season,43.27,0.5556,5.553,0.26,4.9,0.74,0.25,NA,4e-4,0.003,0.018,0.024,NA,29.41420671,4.178154362,19.37469866,5.861353691
6,2,5,2004,48.797222,-72.2425,10% fleur,Prospect,mid-season,43.85,0.5641,6.13,0.27,5.5,1.05,0.26,NA,4e-4,0.003,0.016,0.016,NA,34.77418188,4.321405369,16.8200557,13.63272081
