"";"NoEssai";"NoBloc";"NoTraitement";"clr_N";"clr_P";"clr_K";"clr_Mg";"clr_Ca";"clr_Fv";"Cultivar";"Maturity5";"RendVendable";"yieldClass";"ionomicGroup"
"19";1;3;3;0,690962361447156;-2,35356007627627;1,09112241732563;-2,45364353483325;-0,65315038563644;3,67826921797318;"Goldrush";"mid-season";43,3275;"HY";"4"
"20";1;3;4;0,501082569737072;-2,4921465735988;0,702809067551748;-1,63194530837569;-0,579242721011658;3,49944296569733;"Goldrush";"mid-season";40,4935;"HY";"4"
"21";1;3;5;0,478408267339825;-2,53361908870067;0,801981010475674;-1,66611852099595;-0,580929252659977;3,50027758454109;"Goldrush";"mid-season";43,8616;"HY";"4"
"22";1;3;6;0,883880113576228;-2,37221442177458;0,658884995616702;-1,92752860051314;-0,71589292344163;3,47287083653642;"Goldrush";"mid-season";45,998;"HY";"4"
"23";1;3;7;0,544209972235047;-2,4745167602429;0,679704594736948;-1,40531835678108;-0,814220430575308;3,47014098062729;"Goldrush";"mid-season";42,074;"HY";"4"
"24";1;3;8;0,595030522901901;-2,35523937657533;0,660658566573253;-1,91340662429629;-0,404052170419176;3,41700908181565;"Goldrush";"mid-season";54,5109;"HY";"4"
"25";4;1;1;0,739547654951282;-2,23574997344349;0,867612964302865;-2,14873859645386;-0,996059086515476;3,77338703715868;"Bijou Rouge";"early";20,2342047;"LY";"3"
"26";4;1;2;0,795008967904251;-1,99751853793936;0,7865777911519;-2,52076668170391;-0,874514796147092;3,81121325673421;"Bijou Rouge";"early";35,01293356;"LY";"3"
"27";4;1;3;0,845113292742484;-1,93680675692618;0,823203183106739;-2,24696168523002;-1,24365957636624;3,75911154267322;"Bijou Rouge";"early";36,14700403;"LY";"3"
"28";4;1;4;1,01450462208646;-2,25201785624909;0,563390863173616;-2,41453678574687;-0,770413315324877;3,85907247206076;"Bijou Rouge";"early";42,22323423;"HY";"3"
"29";4;1;5;1,21064651950239;-1,92905876626228;0,624513904217151;-2,36437683752012;-1,15135419767427;3,60962937773713;"Bijou Rouge";"early";39,04783691;"HY";"3"
"30";4;1;6;0,993771472381594;-1,77205098920588;0,738831146985385;-2,41390487537827;-1,21998240690584;3,67333565212301;"Bijou Rouge";"early";40,40872148;"HY";"3"
"31";4;2;1;0,802916580253075;-2,10000239369518;0,92484727842954;-2,48299464595128;-1,0639104620084;3,91914364297225;"Bijou Rouge";"early";23,02759933;"LY";"3"
"32";4;2;2;0,824720923311927;-2,03870369833726;0,819407197340686;-2,37517593495847;-0,952067600715863;3,72181911335898;"Bijou Rouge";"early";31,25259463;"LY";"3"
"33";4;2;3;1,01921328068487;-1,78043652082513;0,727354422796461;-2,65590525817903;-1,03322211899491;3,72299619451773;"Bijou Rouge";"early";34,30861611;"LY";"3"
"34";4;2;4;0,965168040022661;-1,84199462683361;0,866055574268598;-2,56412934426681;-1,10688324717463;3,68178360398379;"Bijou Rouge";"early";32,30310201;"LY";"3"
"35";4;2;5;1,00435694791393;-2,03846336173896;0,871555393540997;-2,480296114018;-1,06660277871;3,70944991301204;"Bijou Rouge";"early";38,53452081;"HY";"3"
"36";4;2;6;0,922379425272173;-2,0743523486149;0,620274832155168;-1,89203079182095;-1,18509028912867;3,60881917213718;"Bijou Rouge";"early";37,24526174;"HY";"3"
"37";4;3;1;0,786718777212272;-2,11994466828208;0,980930705992477;-2,36506712631506;-1,12830449916614;3,84566681055853;"Bijou Rouge";"early";10,04547685;"LY";"3"
"38";4;3;2;0,864572092482299;-2,00831435107285;0,963125229912101;-2,74228352615305;-0,950524056924991;3,87342461175648;"Bijou Rouge";"early";22,6067995;"LY";"3"
"39";4;3;3;0,95559306000608;-1,89404243357692;0,838399220649448;-2,70497264979325;-1,11234185567553;3,91736465839017;"Bijou Rouge";"early";24,86300285;"LY";"3"
"40";4;3;4;1,0862900292054;-1,73179938055342;0,980837984555697;-3,15318506148458;-1,18707220511175;4,00492863338865;"Bijou Rouge";"early";30,79896644;"LY";"3"
"41";4;3;5;1,01928820750252;-1,84405487800572;0,751199828951141;-2,68030290220634;-1,10211753327635;3,85598727703475;"Bijou Rouge";"early";31,34511091;"LY";"3"
"42";4;3;6;0,92051316592455;-1,9752145933247;0,838196123435337;-2,48604021709069;-1,00696412251983;3,70950964357534;"Bijou Rouge";"early";21,87263809;"LY";"3"
"43";5;1;1;0,526421079325973;-2,24928777025005;0,792850876118095;-1,94918317779971;-0,996524801754684;3,87572379436038;"Shepody";"mid-season";14,36091342;"LY";"4"
"44";5;1;2;0,663484111597055;-2,18818531728007;0,834270026414673;-2,10814260960654;-0,935422348784704;3,73399613765958;"Shepody";"mid-season";21,31754044;"LY";"4"
"45";5;1;3;0,737821234348612;-2,10688764821699;0,902543469695162;-2,10688764821699;-1,03153222171315;3,60494281410336;"Shepody";"mid-season";25,13159849;"LY";"4"
"46";5;1;4;0,834289383454124;-2,18124551739605;0,753750520970112;-1,87586386784486;-1,09460941977465;3,56367890059133;"Shepody";"mid-season";25,63297701;"LY";"4"
"47";5;1;5;0,932686014630407;-2,20342912649721;0,750364457836452;-2,06989773387269;-0,940513786537823;3,53079017444086;"Shepody";"mid-season";26,05377685;"LY";"4"
"48";5;1;6;0,842199262954112;-2,18438547408264;0,625017221279854;-1,77892036597448;-0,990463005610209;3,48655236143336;"Shepody";"mid-season";26,12540235;"LY";"4"
"49";5;2;1;0,644454952317716;-2,45397640368373;0,864982879741457;-1,76082922312378;-0,991696135585913;3,69706393033425;"Shepody";"mid-season";8,953187919;"LY";"4"
"50";5;2;2;0,688369671891093;-2,1678952587462;0,849039222458394;-1,91658083046529;-1,03419165026682;3,58125884512883;"Shepody";"mid-season";20,78930235;"LY";"4"
"51";5;2;3;0,912059223595558;-1,95497842613452;0,845623332332931;-2,50704700843456;-0,918886494447748;3,62322937308835;"Shepody";"mid-season";22,57993993;"LY";"4"
"52";5;2;4;0,896160567829593;-2,1227492940371;0,841456725870113;-2,02430922122385;-1,17255701048727;3,58199823204851;"Shepody";"mid-season";22,61575268;"LY";"4"
"53";5;2;5;1,07167390231581;-2,08343347520225;0,853177675343948;-2,48889858331041;-1,04853700092024;3,69601748177315;"Shepody";"mid-season";23,52897785;"LY";"4"
"54";5;2;6;0,859770173167691;-1,98340924246057;0,859297843787895;-2,22703132511832;-0,969354341820525;3,46072689244383;"Shepody";"mid-season";22,63365906;"LY";"4"
"55";5;3;1;0,652326045751479;-2,53272082008744;0,723349374788813;-1,58533950114325;-0,871989613265785;3,61437451395618;"Shepody";"mid-season";11,51379966;"LY";"4"
"56";5;3;2;0,656414179815201;-2,22407989416159;0,722381330385615;-1,79329697806914;-0,971316925666225;3,60989828769614;"Shepody";"mid-season";24,28104564;"LY";"4"
"57";5;3;3;0,802793230679061;-2,45549559654597;0,789047975070803;-1,7135582518166;-1,05677871542753;3,63399135804024;"Shepody";"mid-season";24,45115621;"LY";"4"
"58";5;3;4;0,780713981193308;-2,2680511442689;0,632192362106414;-1,70843535633348;-0,908907772214965;3,47248792951763;"Shepody";"mid-season";23,70804161;"LY";"4"
"59";5;3;5;0,937857922957803;-2,11971527096111;0,550859818974553;-1,82344945481794;-1,1432056790939;3,5976526629406;"Shepody";"mid-season";23,86919899;"LY";"4"
"60";5;3;6;0,870394916004917;-2,2839226344442;0,579335888043406;-1,59077545388425;-1,06889999393168;3,49386727821181;"Shepody";"mid-season";18,56891174;"LY";"4"
"61";6;1;1;0,41501732570633;-2,12428543862904;0,795735013189251;-2,00650240297266;-0,895620021712736;3,81565552441886;"Prospect";"mid-season";23,71997919;"LY";"3"
"62";6;1;2;0,519632204728542;-2,084765423061;0,766385621681886;-1,78751389959307;-1,18397887772281;3,77024037396645;"Prospect";"mid-season";33,7953;"LY";"3"
"63";6;1;3;0,762755540883166;-2,01539802599002;0,796583097960419;-2,21210832023608;-1,08492265912391;3,75309036650643;"Prospect";"mid-season";34,04598926;"LY";"3"
"64";6;1;4;0,898778476059124;-2,1254718364161;0,794227536574585;-2,1254718364161;-1,06322719191886;3,62116485211736;"Prospect";"mid-season";38,35545705;"LY";"3"
"65";6;1;5;0,870211699453677;-2,04468327999324;0,741484700372922;-1,92690024433686;-1,2063540895888;3,56624121409229;"Prospect";"mid-season";39,77602953;"HY";"3"
"66";6;1;6;0,77093905853823;-2,30312505828567;0,617644176794867;-1,44007884093033;-1,12162510981179;3,47624577369469;"Prospect";"mid-season";42,82011342;"HY";"3"
"67";6;2;1;0,643983216491086;-2,01487674042035;0,767662312672598;-2,23802029173456;-1,04409782326213;3,88534932625336;"Prospect";"mid-season";22,63365906;"LY";"3"
"68";6;2;2;0,715924446715882;-2,03365150121483;0,775751194147671;-2,25679505252904;-1,0628725840566;3,86164349693691;"Prospect";"mid-season";24,36460872;"LY";"3"
"69";6;2;3;0,814457822125055;-2,14405174093833;0,654635734268814;-1,93641237616008;-1,0846601654235;3,69603072612804;"Prospect";"mid-season";27,58775638;"LY";"3"
"70";6;2;4;0,92270389601723;-2,13870807420885;0,797600778874341;-2,17792878736213;-1,09273951902616;3,68907170570557;"Prospect";"mid-season";29,41420671;"LY";"3"
"71";6;2;5;0,917558508937827;-2,20496956099406;0,809111851228132;-2,2427098889769;-0,846846076840862;3,56785516664586;"Prospect";"mid-season";34,77418188;"LY";"3"
"72";6;2;6;0,964388371014898;-2,28911889782294;0,799756707450283;-2,24259888218805;-0,989835913692681;3,75740861523849;"Prospect";"mid-season";35,80081409;"LY";"3"
"73";6;3;1;0,744088028557826;-2,47619856541339;0,882950580005263;-2,05131537144813;-0,890571301673011;3,79104662997144;"Prospect";"mid-season";19,14191577;"LY";"3"
"74";6;3;2;0,6640300047057;-2,30007086570715;0,853053581598271;-1,83576525757605;-1,08704822586129;3,70580076284052;"Prospect";"mid-season";27,48628691;"LY";"3"
"75";6;3;3;0,799914961931989;-2,17943383237148;0,74283128930064;-2,02528315254422;-1,08082154370337;3,74279227738644;"Prospect";"mid-season";32,35682114;"LY";"3"
"76";6;3;4;1,02231678721886;-2,11526221056337;0,652313969852865;-2,28961559770815;-1,0300729422274;3,7603199934272;"Prospect";"mid-season";37,53176376;"LY";"3"
"77";6;3;5;0,935436997248952;-2,26230804598917;0,795117796570156;-2,05751363334316;-1,14865787995653;3,73792476546975;"Prospect";"mid-season";35,61578154;"LY";"3"
"78";6;3;6;1,0006107903152;-2,14602513894249;0,824389326627212;-2,22606784661603;-1,12745555794792;3,67454842656402;"Prospect";"mid-season";37,85407852;"LY";"3"
"79";7;1;1;0,517515967096338;-2,28027336876074;0,855220847168408;-1,76944774499475;-0,958517528778422;3,63550182826917;"Yukon Gold";"mid-season";30,65571544;"LY";"1"
"80";7;1;2;0,503040062119534;-2,28710202770115;0,723108265033496;-1,70395574235553;-0,870036007914504;3,63494545081816;"Yukon Gold";"mid-season";38,69567819;"HY";"1"
"81";7;1;3;0,565124938715108;-2,24621220109802;0,622092462769466;-1,6081247977211;-0,842218262878728;3,50933786021327;"Yukon Gold";"mid-season";33,09098255;"HY";"1"
"82";7;1;4;0,67913233935424;-2,2813427843129;0,664974129677738;-1,53600985058239;-0,988574481203835;3,46182064706715;"Yukon Gold";"mid-season";36,9856193;"HY";"1"
"83";7;1;5;0,690719268864818;-2,23669724381256;0,657498610522007;-1,65274935521761;-0,931164239337128;3,47239295898047;"Yukon Gold";"mid-season";38,03314228;"HY";"1"
"84";7;1;6;0,76855034240787;-2,18366814496015;0,539323636140255;-1,54011790553958;-1,04294437094192;3,45885644289353;"Yukon Gold";"mid-season";39,59995017;"HY";"1"
"85";7;2;1;0,517392162004614;-2,30522603550634;0,822995421093735;-1,74561024757091;-0,898312387183708;3,60876108716261;"Yukon Gold";"mid-season";30,43188574;"LY";"1"
"86";7;2;2;0,524649673374572;-2,19805453611474;0,715847719191618;-1,94674010783383;-0,655061723088794;3,55935897447118;"Yukon Gold";"mid-season";41,46221326;"HY";"1"
"87";7;2;3;0,614257200980757;-2,17034243392516;0,803485004240781;-1,65951681015917;-1,09420300110911;3,5063200399719;"Yukon Gold";"mid-season";42,95739564;"HY";"1"
"88";7;2;4;0,672495745066544;-2,20597754903801;0,460354198496912;-1,63263156829068;-0,734689975084723;3,44044914884995;"Yukon Gold";"mid-season";37,75559346;"HY";"1"
"89";7;2;5;0,64669212691267;-2,17288137897368;0,476940317228741;-1,60894592989374;-0,749408014612031;3,40760287933803;"Yukon Gold";"mid-season";37,47804463;"HY";"1"
"90";7;2;6;0,65303999385557;-2,3108100908281;0,466079713311073;-1,50371865091894;-0,701372178393999;3,39678121297439;"Yukon Gold";"mid-season";41,29210268;"HY";"1"
"91";7;3;1;0,406914581122983;-2,24576384444424;0,733839047179867;-1,70343955361888;-0,829910681082806;3,63836045084307;"Yukon Gold";"mid-season";24,16465419;"LY";"1"
"92";7;3;2;0,451016533133937;-2,21525336000621;0,653820400211024;-1,65072355726835;-0,746267283041202;3,50740726697081;"Yukon Gold";"mid-season";28,16672919;"LY";"1"
"93";7;3;3;0,542429930300067;-2,09805495130638;0,569173255275578;-1,55905845057369;-0,882718388330126;3,42822860463455;"Yukon Gold";"mid-season";27,29826997;"LY";"1"
"94";7;3;4;0,566676466758629;-2,12097092697537;0,526454652310406;-1,48844836823186;-0,919943632879189;3,43623180901738;"Yukon Gold";"mid-season";28,65915453;"LY";"1"
"95";7;3;5;0,857219004312562;-2,11099524034754;0,406125029424119;-2,00921254603759;-0,798808851381368;3,65567260402982;"Yukon Gold";"mid-season";29,54552013;"LY";"1"
"96";7;3;6;0,654072839539572;-2,11747367312177;0,495451516216646;-1,48148490640177;-0,921869118466346;3,37130334223366;"Yukon Gold";"mid-season";28,48904396;"LY";"1"
"97";8;1;1;0,689095570783327;-2,16417667940184;0,67555134567557;-1,77113409129223;-1,06556439073373;3,6362282449689;"Estima";"mid-season";25,36310235;"LY";"4"
"98";8;1;2;0,769711855487067;-2,15747387553181;0,686188884398743;-1,90615944725091;-0,989868715376753;3,59760129827366;"Estima";"mid-season";41,97766107;"LY";"4"
"99";8;1;3;0,834374899909768;-2,13471528140747;0,757446987262486;-1,93111632616623;-1,02540770362261;3,49941742402405;"Estima";"mid-season";59,27010403;"HY";"4"
"100";8;1;4;0,918913217304705;-2,12206993842916;0,640386984880216;-2,00070908142489;-0,950886956926213;3,51436577459534;"Estima";"mid-season";54,64002685;"HY";"4"
"101";8;1;5;0,856056930851821;-2,12134163601367;0,742762195061889;-2,12134163601367;-0,907418500834561;3,55128264694818;"Estima";"mid-season";45,0473255;"LY";"4"
"102";8;1;6;0,901977332805483;-2,10231197468149;0,683856005684675;-2,20075204749474;-0,780556134699168;3,49778681838524;"Estima";"mid-season";47,56700839;"LY";"4"
"103";8;2;1;0,756453459017939;-2,08132461419039;0,738730645288313;-2,3326390424713;-0,802450501691338;3,72123005404678;"Estima";"mid-season";37,5735453;"LY";"4"
"104";8;2;2;0,718089268441583;-1,99855137986567;0,770354096957819;-2,30603607961363;-0,737420161699781;3,55356425577967;"Estima";"mid-season";45,52696057;"LY";"4"
"105";8;2;3;0,753909138598838;-2,02436193785478;0,746386857462993;-2,08498655967122;-0,915993474241307;3,52504597570547;"Estima";"mid-season";45,12406711;"LY";"4"
"106";8;2;4;0,957020010097136;-1,86357536142439;0,737163103888734;-2,41011906779246;-0,990302014633924;3,5698133298649;"Estima";"mid-season";63,60344698;"HY";"4"
"107";8;2;5;0,883313401776735;-1,84407246420364;0,704256012021852;-2,36286625761881;-0,863243211191917;3,48261251921578;"Estima";"mid-season";51,19595638;"HY";"4"
"108";8;2;6;0,895308240652418;-2,03885253436741;0,726567698393761;-2,33610405783534;-0,71139867327045;3,46447932642702;"Estima";"mid-season";57,21087081;"HY";"4"
"109";8;3;1;0,757236307763563;-2,08812020327098;0,808641352723952;-2,35048446773847;-0,880308622637882;3,75303563315983;"Estima";"mid-season";29,96876174;"LY";"4"
"110";8;3;2;0,807032134023006;-2,05988666405163;0,83621576855352;-2,29168827810895;-0,949845679559897;3,65817271914395;"Estima";"mid-season";49,5518255;"HY";"4"
"111";8;3;3;0,952334183551971;-1,97284149653888;0,834299607207555;-2,44284512578462;-1,0077606004953;3,63681343205928;"Estima";"mid-season";56,73065436;"HY";"4"
"112";8;3;4;0,942212185127453;-1,94661517091734;0,810225194354305;-2,3520802790255;-0,986839327103443;3,53309739756452;"Estima";"mid-season";58,96081208;"HY";"4"
"113";8;3;5;0,987158676445423;-1,99733420047288;0,800664237292273;-2,30481890022084;-1,02388505475877;3,53821524171479;"Estima";"mid-season";52,95403691;"HY";"4"
"114";8;3;6;0,949562140986956;-2,13021580668028;0,744155609869445;-2,204323778834;-0,973783947123343;3,61460578178122;"Estima";"mid-season";65,78151342;"HY";"4"
"115";9;1;1;0,750169391829657;-2,18545895765463;0,892237253750793;-2,59092406576279;-0,592828163536909;3,72680454137388;"Andover";"early mid-season";32,87028772;"HY";"4"
"116";9;1;2;0,811880544605148;-2,03928827775749;1,00141736143923;-3,06093952528947;-0,548633901313357;3,83556379831594;"Andover";"early mid-season";41,81138758;"HY";"4"
"117";9;1;3;1,02507855226903;-2,02757401153764;0,840730652329845;-2,72072119209759;-0,837989944663805;3,72047594370016;"Andover";"early mid-season";37,54071695;"HY";"4"
"118";9;1;4;0,995042467321296;-2,18451023915039;0,836889781152183;-2,57017271996237;-0,749425713861064;3,67217642450035;"Andover";"early mid-season";43,00216158;"HY";"4"
"119";9;1;5;1,07748291608398;-2,42673892143845;0,841984709157318;-2,37267170016817;-0,886293880491302;3,76623687685663;"Andover";"early mid-season";43,93329312;"HY";"4"
"120";9;1;6;1,00240421805617;-2,09317339046754;0,750130856570638;-2,41594678273059;-0,855299034465923;3,61188413303725;"Andover";"early mid-season";44,58687584;"HY";"4"
"121";9;2;1;0,753919354486456;-2,14876939921675;0,835357328216936;-2,57365259318201;-0,547053532876557;3,68019884257192;"Andover";"early mid-season";33,97734815;"HY";"4"
"122";9;2;2;0,809214065967037;-2,22169228259461;0,780022062636931;-2,34952565410449;-0,661444614351279;3,64342642244641;"Andover";"early mid-season";38,73149094;"HY";"4"
"123";9;2;3;0,749688545230605;-2,25236983012608;0,733700532516179;-1,92694742969145;-0,875737379917921;3,57166556198866;"Andover";"early mid-season";44,50261054;"HY";"4"
"124";9;2;4;0,791419856098268;-2,17108797639038;0,748611396600304;-2,28441666169738;-0,659105400106994;3,57457878549618;"Andover";"early mid-season";40,20876695;"HY";"4"
"125";9;2;5;0,89952575122681;-2,06574731484247;0,678209594722982;-2,28085869445942;-0,808386637098475;3,57725730045057;"Andover";"early mid-season";44,16607601;"HY";"4"
"126";9;2;6;0,796969091256903;-2,34103034518918;0,551475885235614;-1,72792587230278;-0,754939796752075;3,47545103775152;"Andover";"early mid-season";46,81621963;"HY";"4"
"127";9;3;1;0,51281137504428;-2,4270717875863;0,657753029161146;-1,60609123551647;-0,714093196211358;3,5766918151087;"Andover";"early mid-season";28,76504913;"LY";"4"
"128";9;3;2;0,726536939352195;-2,46763627287563;0,733075581364896;-1,74979647972532;-0,868248696295035;3,6260689281789;"Andover";"early mid-season";37,65710839;"HY";"4"
"129";9;3;3;0,697398062992996;-2,21425109335045;0,645180981010882;-1,69699457925417;-0,852447752238858;3,42111438083961;"Andover";"early mid-season";39,37612047;"HY";"4"
"130";9;3;4;0,815033686153191;-2,1239575437553;0,626204142697041;-2,03158422362428;-0,804354557134077;3,51865849566342;"Andover";"early mid-season";40,07446913;"HY";"4"
"131";9;3;5;0,872002651948285;-2,13144174209204;0,599988907654229;-1,82775932829382;-1,02213416430719;3,50934367509054;"Andover";"early mid-season";44,68536091;"HY";"4"
"132";9;3;6;0,889002492451209;-2,16688370392253;0,738194201363331;-1,98456214712857;-0,972961235450095;3,49721039268665;"Andover";"early mid-season";47,31759815;"HY";"4"
"133";12;1;1;0,75727261482956;-2,02232275343575;0,441530487154422;-1,79917920212154;-0,988248985905207;3,61094783947851;"FL 1207";"mid-season late";23,70152571;"LY";"2"
"134";12;1;2;0,857765955619564;-2,08255270457386;0,286522129689022;-1,57799669382146;-1,02650003032454;3,54276134341128;"FL 1207";"mid-season late";27,38297571;"LY";"2"
"135";12;1;3;0,883167076230137;-1,91987427452534;0,411247125733637;-1,75079794448141;-1,15074118698748;3,52699920403045;"FL 1207";"mid-season late";29,95999071;"LY";"2"
"136";12;1;4;0,847269576220894;-1,93869088298478;0,289391682711349;-1,6319606155623;-1,04837563751388;3,48236587712872;"FL 1207";"mid-season late";28,31210357;"LY";"2"
"137";13;1;1;1,16781778721522;-2,19472538746539;0,350805884139045;-2,13410076564896;-1,35639619706095;4,16659867882103;"FL 1207";"mid-season late";23,59634143;"LY";"2"
"138";13;1;2;0,93892709696254;-1,8939185324361;0,383348752573653;-1,8939185324361;-1,28211699133011;3,74767820666612;"FL 1207";"mid-season late";28,24198071;"LY";"2"
"139";13;1;3;0,862985373427521;-1,84245981154832;0,313265034881145;-1,70588427654257;-1,16158272358019;3,53367640336242;"FL 1207";"mid-season late";28,55753357;"LY";"2"
"140";13;1;4;0,861499093973351;-1,77517444428663;0,278949289408915;-1,73168933234689;-1,13918567756663;3,5056010708179;"FL 1207";"mid-season late";32,72984357;"LY";"2"
"141";14;1;1;0,84277488621413;-1,89515768936995;0,230093388341181;-1,57670395825141;-1,10670032900568;3,50569370207173;"FL 1207";"mid-season late";19,00329429;"LY";"2"
"142";14;1;2;0,746237892698131;-1,91741787424727;0,30647495017111;-1,67818818518144;-1,02852611656123;3,57141933312069;"FL 1207";"mid-season late";22,91264357;"LY";"2"
"143";14;1;3;0,851353427090329;-2,05522614103269;0,170985973176783;-1,5385353978143;-0,937195766507477;3,50861790508735;"FL 1207";"mid-season late";30,60862714;"LY";"2"
"144";14;1;4;0,871446447844885;-1,9211706244078;0,237300966631185;-1,62693115140986;-1,0928486654796;3,5322030268212;"FL 1207";"mid-season late";25,20916714;"LY";"2"
"145";15;1;1;0,769279181903546;-2,16568523040907;0,458379314620051;-1,97644323077054;-0,855102691024872;3,76957265568088;"Bijou Rouge";"early";13,07165436;"LY";"3"
"146";15;1;2;0,84303931894941;-1,95842532679223;0,445135683541822;-1,92765366812547;-1,08035580773827;3,67825980016474;"Bijou Rouge";"early";26,74018792;"LY";"3"
"147";15;1;3;0,863317567797891;-1,84273063063365;0,429395254875691;-1,8940239250212;-1,11276947695098;3,55681120993224;"Bijou Rouge";"early";37,14976107;"HY";"3"
"148";15;1;4;0,893480622992231;-1,82187615329242;0,429415645314079;-1,89983769476213;-1,18002226712002;3,57883984686826;"Bijou Rouge";"early";36,6125698;"HY";"3"
"149";15;1;5;0,942041191911545;-1,96099512882594;0,468481716022727;-1,93200759195269;-1,11790780097508;3,60038761381944;"Bijou Rouge";"early";36,55288188;"HY";"3"
"150";15;1;6;0,908159207645824;-1,87066006434459;0,334863315806322;-1,87066006434459;-1,02694002530527;3,52523763054231;"Bijou Rouge";"early";37,40522537;"HY";"3"
"151";17;1;1;0,784541863861431;-2,20492079667896;0,440071268456109;-2,01567879704044;-0,729014276869387;3,72500073827125;"Pike";"mid-season";21,57121409;"LY";"3"
"152";17;1;2;0,832098726979322;-2,09142121246074;0,407278759459591;-1,96625806950674;-0,783088392810566;3,60139018833914;"Pike";"mid-season";29,06801678;"LY";"3"
"153";17;1;3;0,940676829515865;-1,91883135372469;0,449210955923995;-2,0439944966787;-1,07574402587383;3,64868209083737;"Pike";"mid-season";39,1314;"LY";"3"
"154";17;1;4;0,933394244382413;-1,90161487193012;0,381334246547067;-1,98862624891975;-1,03078651413272;3,60629914405311;"Pike";"mid-season";39,4298396;"HY";"3"
"155";17;1;5;1,01249513459157;-1,97696752594883;0,356389225711972;-2,0415060470864;-1,00005217225824;3,64964138498992;"Pike";"mid-season";39,51340268;"HY";"3"
"156";17;1;6;1,00817838657158;-2,01130191511968;0,392441327561118;-2,04409173794267;-0,990941823351314;3,64571576228095;"Pike";"mid-season";38,0212047;"LY";"3"
"157";17;1;7;0,923767654267181;-2,28321959893577;0,563274152788344;-2,04205754211888;-0,885625682561943;3,72386101656106;"Pike";"mid-season";16,66486711;"LY";"3"
"158";17;1;8;1,03384653231971;-1,94446210008703;0,385030445826942;-2,03977227989135;-1,08426083486392;3,64961823669565;"Pike";"mid-season";42,41423557;"HY";"3"
"159";17;1;9;1,06349229491212;-2,05556319467387;0,435278190633948;-2,09193083884474;-1,05703436456274;3,70575791253528;"Pike";"mid-season";29,30676846;"LY";"3"
